filepath,sentence
audio_data_aug/train/wavs/noise-B04___03_John________ISLICEN1DA_04.wav,enginn getur gert þessi tákn sem þú gerir nema guð sé með honum
audio_data_aug/train/wavs/noise-B24___01_2John_______ISLICEN1DA_19.wav,sérhver sem fer sínu fram og er ekki staðfastur í kenningu krists
audio_data_aug/train/wavs/noise-B09___02_Galatians___ISLICEN1DA_26.wav,en er þeir komu dró hann sig í hlé og tók sig út úr af ótta við þá sem héldu fram umskurninni
audio_data_aug/train/wavs/noise-B05___05_Acts________ISLICEN1DA_61.wav,síðan sagði hann
audio_data_aug/train/wavs/noise-B03___12_Luke________ISLICEN1DA_16.wav,hárin á höfði yðar eru jafnvel öll talin
audio_data_aug/train/wavs/noise-B05___28_Acts________ISLICEN1DA_23.wav,kristnir menn þar fréttu um okkur og komu til móts við okkur allt til appíusartorgs og þríbúða
audio_data_aug/train/wavs/noise-B08___11_2CorinthiansISLICEN1DA_20.wav,er það af því að ég elska ykkur ekki nei
audio_data_aug/train/wavs/noise-B04___11_John________ISLICEN1DA_74.wav,en jesús var ekki enn kominn til þorpsins heldur var hann enn á
audio_data_aug/train/wavs/noise-B04___19_John________ISLICEN1DA_86.wav,þeir skiptu með sér klæðum mínum og köstuðu hlut um kyrtil minn
audio_data_aug/train/wavs/noise-B17___01_Titus_______ISLICEN1DA_25.wav,allir hlutir eru hreinum hreinir en flekkuðum og vantrúuðum er ekkert hreint
audio_data_aug/train/wavs/noise-B03___23_Luke________ISLICEN1DA_96.wav,maður er nefndur jósef
audio_data_aug/train/wavs/noise-B13___03_1Thess______ISLICEN1DA_16.wav,hvernig get ég nógsamlega þakkað guði fyrir alla þá gleði er hann lét ykkur veita mér
audio_data_aug/train/wavs/noise-B02___08_Mark________ISLICEN1DA_24.wav,hann andvarpaði þungan og mælti hví heimtar þessi kynslóð tákn
audio_data_aug/train/wavs/noise-B23___02_1John_______ISLICEN1DA_28.wav,frá upphafi
audio_data_aug/train/wavs/noise-B03___05_Luke________ISLICEN1DA_08.wav,meistari
audio_data_aug/train/wavs/noise-B01___09_Matthew_____ISLICEN1DA_61.wav,og læknaði hvers kyns sjúkdóm og veikindi en er jesús sá mannfjöldann
audio_data_aug/train/wavs/noise-B02___02_Mark________ISLICEN1DA_34.wav,þá koma menn til jesú og spyrja hann hví fasta lærisveinar jóhannesar og lærisveinar farísea
audio_data_aug/train/wavs/noise-B27___17_Revelation__ISLICEN1DA_12.wav,og ég undraðist stórlega er ég leit hana
audio_data_aug/train/wavs/noise-B03___20_Luke________ISLICEN1DA_63.wav,og létu þeir engin börn eftir sig er þeir dóu
audio_data_aug/train/wavs/noise-B02___02_Mark________ISLICEN1DA_29.wav,jesús heyrði þetta og svaraði þeim
audio_data_aug/train/wavs/noise-B05___03_Acts________ISLICEN1DA_49.wav,eruð börn spámannanna og eigið hlut í sáttmálanum sem guð gerði við forfeður ykkar
audio_data_aug/train/wavs/noise-B03___16_Luke________ISLICEN1DA_71.wav,þá bið ég þig faðir
audio_data_aug/train/wavs/noise-B05___02_Acts________ISLICEN1DA_17.wav,og við sem hingað erum flutt frá róm hér eru bæði gyðingar og þeir sem tekið hafa trú gyðinga
audio_data_aug/train/wavs/noise-B04___06_John________ISLICEN1DA_142.wav,símon pétur svaraði honum
audio_data_aug/train/wavs/noise-B13___05_1Thess______ISLICEN1DA_08.wav,þið eruð öll börn ljóssins og börn dagsins við heyrum ekki nóttunni til eða myrkrinu
audio_data_aug/train/wavs/noise-B02___08_Mark________ISLICEN1DA_65.wav,pétur svaraði honum
audio_data_aug/train/wavs/noise-B05___19_Acts________ISLICEN1DA_17.wav,þessir menn voru alls um tólf
audio_data_aug/train/wavs/noise-B21___02_1Peter______ISLICEN1DA_38.wav,því að hvað er lofsvert við það að sýna þolgæði er þið sætið barsmíðum fyrir afbrot
audio_data_aug/train/wavs/noise-B05___05_Acts________ISLICEN1DA_72.wav,en sé það frá guði
audio_data_aug/train/wavs/noise-B09___03_Galatians___ISLICEN1DA_13.wav,ritningin sá það fyrir að guð mundi réttlæta heiðingjana fyrir trú
audio_data_aug/train/wavs/noise-B04___20_John________ISLICEN1DA_67.wav,eins og faðirinn hefur sent mig
audio_data_aug/train/wavs/noise-B08___11_2CorinthiansISLICEN1DA_04.wav,kristi og vil leiða fram fyrir hann hreina mey
audio_data_aug/train/wavs/noise-B06___05_Romans______ISLICEN1DA_17.wav,hafi guð þegar við vorum óvinir hans tekið okkur í sátt með dauða sonar síns
audio_data_aug/train/wavs/noise-B07___15_1CorinthiansISLICEN1DA_38.wav,kristur er frumgróðinn næst koma þeir sem játa hann þegar hann
audio_data_aug/train/wavs/noise-B07___14_1CorinthiansISLICEN1DA_62.wav,andar spámanna eru spámönnum undirgefnir því að guð er guð friðar ekki truflunar
audio_data_aug/train/wavs/noise-B03___23_Luke________ISLICEN1DA_14.wav,þegar pílatus heyrði þetta spurði hann hvort maðurinn væri galílei
audio_data_aug/train/wavs/noise-B05___13_Acts________ISLICEN1DA_73.wav,að sérhver er trúir réttlætist í honum af öllu því er lögmál móse
audio_data_aug/train/wavs/noise-B03___18_Luke________ISLICEN1DA_48.wav,þú kannt boðorðin þú skalt ekki drýgja hór þú skalt ekki morð fremja þú skalt ekki stela
audio_data_aug/train/wavs/noise-B03___24_Luke________ISLICEN1DA_88.wav,en það varð meðan hann var að blessa þau
audio_data_aug/train/wavs/noise-B02___05_Mark________ISLICEN1DA_25.wav,en jesús leyfði honum það eigi heldur sagði
audio_data_aug/train/wavs/noise-B03___02_Luke________ISLICEN1DA_58.wav,hún hafði lifað sjö ár með manni sínum þegar hann dó og síðan verið ekkja fram á áttatíu og fjögurra ára aldur
audio_data_aug/train/wavs/noise-B02___15_Mark________ISLICEN1DA_17.wav,en æðstu prestarnir æstu múginn til að heimta að hann gæfi þeim heldur barabbas lausan
audio_data_aug/train/wavs/noise-B02___06_Mark________ISLICEN1DA_21.wav,hann bauð þeim að taka ekkert til ferðarinnar annað en staf ekki brauð
audio_data_aug/train/wavs/noise-B03___22_Luke________ISLICEN1DA_119.wav,þessi maður var líka með honum
audio_data_aug/train/wavs/noise-B02___05_Mark________ISLICEN1DA_36.wav,að hún læknist og lifi
audio_data_aug/train/wavs/noise-B04___19_John________ISLICEN1DA_60.wav,hermennirnir atóku þá við jesú
audio_data_aug/train/wavs/noise-B04___15_John________ISLICEN1DA_29.wav,þér eruð vinir mínir
audio_data_aug/train/wavs/noise-B03___16_Luke________ISLICEN1DA_09.wav,nú sé ég hvað ég geri til þess að menn taki við mér í hús sín þegar ég verð sviptur ráðsmennskunni
audio_data_aug/train/wavs/noise-B01___27_Matthew_____ISLICEN1DA_45.wav,þá leiddu þeir hann út til að krossfesta hann
audio_data_aug/train/wavs/noise-B03___20_Luke________ISLICEN1DA_58.wav,móse segir okkur í ritningunum að deyi maður kvæntur en barnlaus skuli bróðir hans ganga að eiga ekkjuna
audio_data_aug/train/wavs/noise-B04___18_John________ISLICEN1DA_21.wav,að hverjum leitið þið
audio_data_aug/train/wavs/noise-B04___09_John________ISLICEN1DA_92.wav,hann bænheyrir hvern þann sem er guðrækinn og fer að guðs vilja
audio_data_aug/train/wavs/noise-B05___15_Acts________ISLICEN1DA_13.wav,eftir mikla umræðu reis pétur upp og sagði við þá
audio_data_aug/train/wavs/noise-B07___15_1CorinthiansISLICEN1DA_87.wav,eins og hinn jarðneski var þannig eru og hinir jarðnesku og eins og hinn himneski
audio_data_aug/train/wavs/noise-B23___04_1John_______ISLICEN1DA_08.wav,en sérhver andi sem ekki játar jesú er ekki frá guði
audio_data_aug/train/wavs/noise-B03___17_Luke________ISLICEN1DA_28.wav,og galíleu
audio_data_aug/train/wavs/noise-B01___13_Matthew_____ISLICEN1DA_25.wav,því að hjarta lýðs þessa er sljótt orðið og illa heyra þeir með eyrum sínum
audio_data_aug/train/wavs/noise-B04___06_John________ISLICEN1DA_90.wav,kemur til mín
audio_data_aug/train/wavs/noise-B04___11_John________ISLICEN1DA_71.wav,að svo mæltu fór hún kallaði á maríu systur sína og sagði í hljóði
audio_data_aug/train/wavs/noise-B02___05_Mark________ISLICEN1DA_12.wav,hinn svaraði hersing heiti ég við erum margir og hann bað jesú ákaft að senda þá ekki brott úr héraðinu
audio_data_aug/train/wavs/noise-B03___21_Luke________ISLICEN1DA_66.wav,svo að sá dagur komi ekki skyndilega yfir yður eins og snara
audio_data_aug/train/wavs/noise-B05___16_Acts________ISLICEN1DA_60.wav,síðan leiddi hann þá út og sagði
audio_data_aug/train/wavs/noise-B03___05_Luke________ISLICEN1DA_14.wav,þeir komu og hlóðu báða bátana svo að nær voru sokknir
audio_data_aug/train/wavs/noise-B02___08_Mark________ISLICEN1DA_70.wav,mannssonurinn á margt að líða
audio_data_aug/train/wavs/noise-B03___23_Luke________ISLICEN1DA_25.wav,pílatus kallaði nú saman æðstu prestana höfðingjana og fólkið og mælti
audio_data_aug/train/wavs/noise-B04___13_John________ISLICEN1DA_86.wav,orðinn og guð er orðinn dýrlegur í honum
audio_data_aug/train/wavs/noise-B08___12_2CorinthiansISLICEN1DA_44.wav,komum við ekki fram í einum og sama anda
audio_data_aug/train/wavs/noise-B09___02_Galatians___ISLICEN1DA_08.wav,þeir vildu hneppa okkur í þrældóm
audio_data_aug/train/wavs/noise-B14___03_2Thess______ISLICEN1DA_13.wav,ekki var ég iðjulaus hjá ykkur var ekki heldur upp á aðra kominn
audio_data_aug/train/wavs/noise-B03___20_Luke________ISLICEN1DA_25.wav,en er vínyrkjarnir sáu hann báru þeir saman ráð sín og sögðu
audio_data_aug/train/wavs/noise-B06___08_Romans______ISLICEN1DA_09.wav,fær að leiða en ekki sjálfshyggjan
audio_data_aug/train/wavs/noise-B02___07_Mark________ISLICEN1DA_23.wav,og margt annað gerið þið þessu líkt
audio_data_aug/train/wavs/noise-B05___23_Acts________ISLICEN1DA_51.wav,hann kallaði fyrir sig tvo hundraðshöfðingja og sagði
audio_data_aug/train/wavs/noise-B01___24_Matthew_____ISLICEN1DA_55.wav,en þann dag og stund veit enginn hvorki englar á himnum né sonurinn
audio_data_aug/train/wavs/noise-B19___11_Hebrews_____ISLICEN1DA_08.wav,bar vitni um fórn hans
audio_data_aug/train/wavs/noise-B25___01_3John_______ISLICEN1DA_29.wav,vinirnir biðja að heilsa þér heilsa þú vinunum hverjum fyrir sig
audio_data_aug/train/wavs/noise-B06___07_Romans______ISLICEN1DA_45.wav,er það ekki framar ég sjálfur sem geri þetta heldur syndin
audio_data_aug/train/wavs/noise-B04___01_John________ISLICEN1DA_90.wav,filippus fann natanael og sagði við hann
audio_data_aug/train/wavs/noise-B05___02_Acts________ISLICEN1DA_54.wav,óhikað get ég talað við ykkur um ættföðurinn davíð
audio_data_aug/train/wavs/noise-B03___14_Luke________ISLICEN1DA_76.wav,og ráðgast um hvort honum sé fært að mæta með tíu þúsundum þeim er fer á móti honum
audio_data_aug/train/wavs/noise-B04___15_John________ISLICEN1DA_36.wav,ég hef ákvarðað yður til að fara og bera ávöxt
audio_data_aug/train/wavs/noise-B06___14_Romans______ISLICEN1DA_04.wav,sá sem neytir skal ekki fyrirlíta hinn sem neytir ekki og sá sem neytir ekki skal ekki dæma þann sem neytir
audio_data_aug/train/wavs/noise-B07___12_1CorinthiansISLICEN1DA_47.wav,guð hefur gefið öllum sitt hlutverk í kirkjunni
audio_data_aug/train/wavs/noise-B05___23_Acts________ISLICEN1DA_07.wav,hér situr þú til að dæma mig samkvæmt lögmálinu og skipar þó þvert ofan í lögmálið að slá mig
audio_data_aug/train/wavs/noise-B03___23_Luke________ISLICEN1DA_82.wav,sannlega segi ég þér
audio_data_aug/train/wavs/noise-B08___03_2CorinthiansISLICEN1DA_25.wav,en hugur þeirra varð sljór
audio_data_aug/train/wavs/noise-B20___05_James_______ISLICEN1DA_18.wav,dómarinn stendur fyrir dyrum
audio_data_aug/train/wavs/noise-B03___18_Luke________ISLICEN1DA_72.wav,eilíft líf
audio_data_aug/train/wavs/noise-B26___01_Jude________ISLICEN1DA_30.wav,þeir eru smánarblettur á kærleiksmáltíðum ykkar er þeir sitja að veislum með ykkur
audio_data_aug/train/wavs/noise-B05___19_Acts________ISLICEN1DA_52.wav,demetríus hét maður og var silfursmiður
audio_data_aug/train/wavs/noise-B09___02_Galatians___ISLICEN1DA_50.wav,til einskis
audio_data_aug/train/wavs/noise-B04___06_John________ISLICEN1DA_62.wav,gef okkur ætíð þetta brauð
audio_data_aug/train/wavs/noise-B04___19_John________ISLICEN1DA_18.wav,og samkvæmt lögmálinu á hann að deyja
audio_data_aug/train/wavs/noise-B27___14_Revelation__ISLICEN1DA_12.wav,og í munni þeirra var enga lygi að finna
audio_data_aug/train/wavs/noise-B04___03_John________ISLICEN1DA_08.wav,nema hann fæðist að nýju
audio_data_aug/train/wavs/noise-B03___22_Luke________ISLICEN1DA_77.wav,og hann sagði við þá
audio_data_aug/train/wavs/noise-B13___05_1Thess______ISLICEN1DA_02.wav,þið vitið það sjálf gjörla að dagur drottins kemur sem þjófur á nóttu þegar
audio_data_aug/train/wavs/noise-B06___06_Romans______ISLICEN1DA_03.wav,fjarri fer því
audio_data_aug/train/wavs/noise-B02___05_Mark________ISLICEN1DA_31.wav,þar sem hann var við vatnið
audio_data_aug/train/wavs/noise-B19___09_Hebrews_____ISLICEN1DA_17.wav,með því sýnir heilagur andi að vegurinn til hins heilaga er enn eigi kunnur orðinn
audio_data_aug/train/wavs/noise-B03___01_Luke________ISLICEN1DA_04.wav,göfugi þeófílus
audio_data_aug/train/wavs/noise-B05___07_Acts________ISLICEN1DA_47.wav,við þessi orð flýði móse og settist að sem útlendingur í midíanslandi
audio_data_aug/train/wavs/noise-B22___02_2Peter______ISLICEN1DA_12.wav,ekki þyrmdi hann hinum forna heimi
audio_data_aug/train/wavs/noise-B03___20_Luke________ISLICEN1DA_82.wav,hvernig geta menn sagt að kristur sé sonur davíðs
audio_data_aug/train/wavs/noise-B02___05_Mark________ISLICEN1DA_67.wav,en menn hlógu að honum
audio_data_aug/train/wavs/noise-B03___08_Luke________ISLICEN1DA_96.wav,komu til jesú og fundu manninn sem illu andarnir höfðu farið úr
audio_data_aug/train/wavs/noise-B26___01_Jude________ISLICEN1DA_32.wav,þeir eru eins og vatnslaus ský sem rekast fyrir vindum eins og tré sem bera ekki ávöxt að hausti
audio_data_aug/train/wavs/noise-B04___16_John________ISLICEN1DA_27.wav,en þegar andi sannleikans kemur mun hann leiða yður í allan sannleikann
audio_data_aug/train/wavs/noise-B04___08_John________ISLICEN1DA_14.wav,þegar þeir héldu áfram að spyrja hann rétti hann sig upp og sagði við þá
audio_data_aug/train/wavs/noise-B02___01_Mark________ISLICEN1DA_50.wav,tók í hönd henni og reisti hana á fætur
audio_data_aug/train/wavs/noise-B08___11_2CorinthiansISLICEN1DA_60.wav,úr höndum hans
audio_data_aug/train/wavs/noise-B02___02_Mark________ISLICEN1DA_32.wav,ég er ekki kominn til að kalla réttláta heldur syndara
audio_data_aug/train/wavs/noise-B14___03_2Thess______ISLICEN1DA_15.wav,ekki af því að ég hafi ekki rétt til þess heldur til þess að ég gæti verið ykkur fyrirmynd að breyta eftir
audio_data_aug/train/wavs/noise-B04___05_John________ISLICEN1DA_47.wav,þannig lífgar og sonurinn þá sem hann vill enda dæmir faðirinn engan
audio_data_aug/train/wavs/noise-B05___20_Acts________ISLICEN1DA_29.wav,þar ætluðum við að taka pál
audio_data_aug/train/wavs/noise-B27___06_Revelation__ISLICEN1DA_34.wav,og stjörnur himinsins hröpuðu niður á jörðina eins og þegar fíkjutré
audio_data_aug/train/wavs/noise-B01___16_Matthew_____ISLICEN1DA_12.wav,að þið hafið ekki brauð
audio_data_aug/train/wavs/noise-B08___13_2CorinthiansISLICEN1DA_13.wav,það skyldi vera að þið stæðust ekki prófið
audio_data_aug/train/wavs/noise-B03___07_Luke________ISLICEN1DA_72.wav,hann á að ryðja þér braut
audio_data_aug/train/wavs/noise-B01___12_Matthew_____ISLICEN1DA_43.wav,er guðs ríki þegar yfir yður komið
audio_data_aug/train/wavs/noise-B05___13_Acts________ISLICEN1DA_44.wav,en áður en hann kom fram boðaði jóhannes öllum ísraelsmönnum að taka sinnaskiptum
audio_data_aug/train/wavs/noise-B01___14_Matthew_____ISLICEN1DA_35.wav,hví efaðist þú þeir stigu í bátinn og þá lægði vindinn
audio_data_aug/train/wavs/noise-B05___17_Acts________ISLICEN1DA_28.wav,leiðsögumenn páls fylgdu honum allt til aþenu og sneru aftur með boð til sílasar og tímóteusar
audio_data_aug/train/wavs/noise-B05___05_Acts________ISLICEN1DA_27.wav,og enn fleiri karlar og konur trúðu á drottin og bættust við söfnuðinn
audio_data_aug/train/wavs/noise-B03___09_Luke________ISLICEN1DA_74.wav,og tveir menn voru á tali við hann
audio_data_aug/train/wavs/noise-B02___01_Mark________ISLICEN1DA_12.wav,ég hef skírt ykkur með vatni
audio_data_aug/train/wavs/noise-B05___14_Acts________ISLICEN1DA_33.wav,þá komu gyðingar frá antíokkíu og íkóníum töldu þeir fólkið á sitt mál
audio_data_aug/train/wavs/noise-B05___19_Acts________ISLICEN1DA_23.wav,og síðan talaði hann daglega í skóla týrannusar
audio_data_aug/train/wavs/noise-B01___27_Matthew_____ISLICEN1DA_36.wav,og allur lýðurinn sagði komi blóð hans yfir okkur og yfir börn okkar
audio_data_aug/train/wavs/noise-B03___12_Luke________ISLICEN1DA_73.wav,og kvíðið engu
audio_data_aug/train/wavs/noise-B02___15_Mark________ISLICEN1DA_67.wav,sannarlega var þessi maður sonur guðs þar
audio_data_aug/train/wavs/noise-B04___12_John________ISLICEN1DA_48.wav,að þið ráðið ekki við neitt
audio_data_aug/train/wavs/noise-B08___12_2CorinthiansISLICEN1DA_26.wav,þið hafið neytt mig til þess það
audio_data_aug/train/wavs/noise-B03___18_Luke________ISLICEN1DA_20.wav,hinn tollheimtumaður
audio_data_aug/train/wavs/noise-B06___04_Romans______ISLICEN1DA_09.wav,fær trú sína metna sér til réttlætis
audio_data_aug/train/wavs/noise-B27___14_Revelation__ISLICEN1DA_27.wav,og reykurinn frá kvalastað þeirra stígur upp um aldir alda
audio_data_aug/train/wavs/noise-B22___02_2Peter______ISLICEN1DA_39.wav,þeirra bíður dýpsta myrkur
audio_data_aug/train/wavs/noise-B05___10_Acts________ISLICEN1DA_70.wav,þið þekkið orðið sem hann sendi börnum ísraels þegar hann flutti fagnaðarerindið um frið fyrir jesú krist sem er drottinn allra
audio_data_aug/train/wavs/noise-B02___01_Mark________ISLICEN1DA_69.wav,en maðurinn gekk burt og ræddi margt um þetta og víðfrægði mjög svo
audio_data_aug/train/wavs/noise-B03___18_Luke________ISLICEN1DA_52.wav,jesús heyrði þetta sagði hann við hann
audio_data_aug/train/wavs/noise-B04___07_John________ISLICEN1DA_109.wav,nú komu þjónarnir til æðstu prestanna og faríseanna sem sögðu við þá
audio_data_aug/train/wavs/noise-B05___21_Acts________ISLICEN1DA_85.wav,kannt þú grísku
audio_data_aug/train/wavs/noise-B13___02_1Thess______ISLICEN1DA_20.wav,vitið hvernig ég lagði að ykkur og hvatti og grátbændi hvert og eitt ykkar eins og faðir börn sín
audio_data_aug/train/wavs/noise-B03___08_Luke________ISLICEN1DA_77.wav,féll fram fyrir honum og hrópaði hárri röddu
audio_data_aug/train/wavs/noise-B19___03_Hebrews_____ISLICEN1DA_07.wav,á meiri heiður en húsið sjálft
audio_data_aug/train/wavs/noise-B07___15_1CorinthiansISLICEN1DA_17.wav,ef
audio_data_aug/train/wavs/noise-B03___16_Luke________ISLICEN1DA_77.wav,hlýði þeir þeim
audio_data_aug/train/wavs/noise-B04___07_John________ISLICEN1DA_58.wav,er þetta ekki sá sem þeir sitja um að lífláta og nú er hann að tala á almannafæri og þeir segja ekkert við hann
audio_data_aug/train/wavs/noise-B05___19_Acts________ISLICEN1DA_59.wav,hann segir að eigi séu það neinir guðir sem með höndum eru gerðir
audio_data_aug/train/wavs/noise-B03___19_Luke________ISLICEN1DA_13.wav,helming eigna minna gef ég fátækum
audio_data_aug/train/wavs/noise-B05___25_Acts________ISLICEN1DA_42.wav,og spurði pál hvort hann vildi fara til jerúsalem og láta dæma málið þar
audio_data_aug/train/wavs/noise-B05___15_Acts________ISLICEN1DA_44.wav,postularnir og öldungarnir bræður yðar senda kristnum mönnum í antíokkíu
audio_data_aug/train/wavs/noise-B23___02_1John_______ISLICEN1DA_73.wav,er barn guðs
audio_data_aug/train/wavs/noise-B17___01_Titus_______ISLICEN1DA_28.wav,verks
audio_data_aug/train/wavs/noise-B01___08_Matthew_____ISLICEN1DA_32.wav,annar úr hópi lærisveinanna sagði við hann drottinn leyf mér fyrst að fara og jarða föður minn
audio_data_aug/train/wavs/noise-B02___14_Mark________ISLICEN1DA_158.wav,áður en hani galar tvisvar
audio_data_aug/train/wavs/noise-B07___10_1CorinthiansISLICEN1DA_03.wav,allir voru þeir skírðir í skýinu og hafinu til fylgdar við móse
audio_data_aug/train/wavs/noise-B25___01_3John_______ISLICEN1DA_02.wav,ég bið þess minn elskaði að þér vegni vel í öllu þú sért heill heilsu
audio_data_aug/train/wavs/noise-B23___02_1John_______ISLICEN1DA_70.wav,átt djörfung og blygðumst okkar ekki fyrir honum þegar hann kemur
audio_data_aug/train/wavs/noise-B05___13_Acts________ISLICEN1DA_89.wav,ég hef sett þig til að vera ljós heiðinna þjóða
audio_data_aug/train/wavs/noise-B03___14_Luke________ISLICEN1DA_01.wav,hvíldardag nokkurn kom jesús í hús eins af höfðingjum farísea til máltíðar
